Name,CountryCode,Population
Berhampore (Baharampur),IND,115144.0
Bern,CHE,122700.0
Betim,BRA,302108.0
Bhagalpur,IND,253225.0
Bharatpur,IND,148519.0
Bharuch (Broach),IND,133102.0
Bhatinda (Bathinda),IND,159042.0
Bhatpara,IND,304952.0
Bhavnagar,IND,402338.0
Bhilai,IND,386159.0
Bhilwara,IND,183965.0
Bhimavaram,IND,121314.0
Bhind,IND,109755.0
Bhir (Bid),IND,112434.0
Bhiwandi,IND,379070.0
Bhopal,IND,1062771.0
Bhubaneswar,IND,411542.0
Bhusawal,IND,145143.0
Bidar,IND,108016.0
Bihar Sharif,IND,201323.0
Bikaner,IND,416289.0
Bikenibeu,KIR,5055.0
Bilaspur,IND,179833.0
Bilbao,ESP,357589.0
Binjai,IDN,127222.0
Binzhou,CHN,133555.0
Biratnagar,NPL,157764.0
Birigui,BRA,94685.0
Birkenhead,GBR,93087.0
Birmingham,GBR,1013000.0
Biskra,DZA,128281.0
Bislig,PHL,97860.0
Bismil,TUR,101400.0
BiÃ±an,PHL,201186.0
Blackburn,GBR,140000.0
Blackpool,GBR,151000.0
Blantyre,MWI,478155.0
Blida (el-Boulaida),DZA,127284.0
Blumenau,BRA,244379.0
Boa Vista,BRA,167185.0
Bobo-Dioulasso,BFA,300000.0
Boca del RÃ­o,MEX,135721.0
Bogor,IDN,285114.0
Bogra,BGD,120170.0
Bojnurd,IRN,134835.0
Bokaro Steel City,IND,333683.0
Bologna,ITA,381161.0
Boma,COD,135284.0
Bonn,DEU,301048.0
Bordeaux,FRA,215363.0
Bose,CHN,93009.0
Boston,USA,589141.0
Botshabelo,ZAF,177971.0
Bottrop,DEU,121097.0
Boulogne-Billancourt,FRA,106367.0
Bournemouth,GBR,162000.0
Bozhou,CHN,106346.0
Brahmanbaria,BGD,109032.0
Brahmapur,IND,210418.0
Brakpan,ZAF,171363.0
Brampton,CAN,296711.0
Brasov,ROM,314225.0
BrasÃ­lia,BRA,1969868.0
Brazzaville,COG,950000.0
Breda,NLD,160398.0
Bremen,DEU,540330.0
Brest,BLR,286000.0
Brighton,GBR,156124.0
Brindisi,ITA,93454.0
Bristol,GBR,402000.0
Brownsville,USA,139722.0
Brugge,BEL,116246.0
Bruxelles [Brussel],BEL,133859.0
Bucaramanga,COL,515555.0
Budapest,HUN,1811552.0
Budaun,IND,116695.0
Buenaventura,COL,224336.0
Buga,COL,110699.0
Bukan,IRN,120020.0
Bukavu,COD,201569.0
Bulandshahr,IND,127201.0
Bulaq al-Dakrur,EGY,148787.0
Burgos,ESP,162802.0
Burhanpur,IND,172710.0
Burlington,CAN,145150.0
Burnaby,CAN,179209.0
Butuan,PHL,267279.0
Buzau,ROM,148372.0
BÃ¦rum,NOR,101340.0
BÃ©char,DZA,107311.0
Cabo de Santo Agostinho,BRA,149964.0
Cabuyao,PHL,106630.0
Cachoeiro de Itapemirim,BRA,155024.0
Cadiz,PHL,141954.0
Caen,FRA,113987.0
Cagliari,ITA,165926.0
Caguas,PRI,140502.0
Cainta,PHL,242511.0
Calapan,PHL,105910.0
Calbayog,PHL,147187.0
Calcutta [Kolkata],IND,4399819.0
Calgary,CAN,768082.0
Cali,COL,2077386.0
Cam Pha,VNM,209086.0
CamagÃ¼ey,CUB,298726.0
Camaragibe,BRA,118968.0
CamaÃ§ari,BRA,149146.0
CametÃ¡,BRA,92779.0
Campina Grande,BRA,352497.0
Campinas,BRA,950043.0
Campo Grande,BRA,649593.0
Campos dos Goytacazes,BRA,398418.0
Canberra,AUS,322723.0
Cangzhou,CHN,242708.0
Canoas,BRA,294125.0
Cape Town,ZAF,2352121.0
Caracas,VEN,1975294.0
Cariacica,BRA,319033.0
Cartagena,COL,805757.0
Cartago,COL,125884.0
Caruaru,BRA,244247.0
CarÃºpano,VEN,119639.0
Casablanca,MAR,2940623.0
Cascavel,BRA,237510.0
Castanhal,BRA,127634.0
Catanduva,BRA,107761.0
Catania,ITA,337862.0
Catanzaro,ITA,96700.0
Cauayan,PHL,103952.0
Caucaia,BRA,238738.0
Cavite,PHL,99367.0
Cayenne,GUF,50699.0
Central Coast,AUS,227657.0
Centro (Villahermosa),MEX,519873.0
Cesena,ITA,89852.0
Chalco,MEX,222201.0
Champdani,IND,98818.0
Chandannagar,IND,120378.0
Chandigarh,IND,504094.0
Chandrapur,IND,226105.0
Changde,CHN,301276.0
Changji,CHN,132260.0
Changshu,CHN,181805.0
Changzhi,CHN,317144.0
Changzhou,CHN,530000.0
Chaozhou,CHN,313469.0
ChapecÃ³,BRA,144158.0
Chapra,IND,136877.0
Charleroi,BEL,200827.0
Chatsworth,ZAF,189885.0
Chelmsford,GBR,97451.0
Cheltenham,GBR,106000.0
Chengde,CHN,246799.0
Chengdu,CHN,3361500.0
Chennai (Madras),IND,3841396.0
Chenzhou,CHN,169400.0
Chhindwara,IND,93731.0
Chiayi,TWN,265109.0
Chiba,JPN,863930.0
Chifeng,CHN,350077.0
Chihuahua,MEX,670208.0
Chimoio,MOZ,171056.0
Chinhae,KOR,125997.0
Chishtian Mandi,PAK,101700.0
Chittagong,BGD,1392860.0
Chittoor,IND,133462.0
Chofu,JPN,201585.0
Chong-up,KOR,139111.0
